Code,Category,A/C group,Sales office,Name,City,Search term,Status,TPC code
1,4,1,1000,Aaditya,Delhi,Aaditya-Delhi,2,
2,6,2,1100,Aarya,Hyderābād,Aarya-Hyderābād,1,
3,4,2,1200,Abhay,Kolkāta,Abhay-Kolkāta,1,
4,4,3,1300,Abhijeet,Mumbai,Abhijeet-Mumbai,2,
5,3,2,1400,Abhinandan,Chennai,Abhinandan-Chennai,1,
6,6,1,1500,Abhinay,Hyderābād,Abhinay-Hyderābād,2,
7,2,3,1600,Abhishek,Pune,Abhishek-Pune,2,
8,3,1,1700,Abimanyu,Ahmedabad,Abimanyu-Ahmedabad,2,
9,2,2,1800,Aditya,Sūrat,Aditya-Sūrat,1,
10,6,2,1000,Akhil,Delhi,Akhil-Delhi,2,
11,4,2,1100,Akshat,Hyderābād,Akshat-Hyderābād,1,
12,1,2,1200,Anil,Kolkāta,Anil-Kolkāta,1,
13,3,1,1300,Avi,Mumbai,Avi-Mumbai,2,
14,6,1,1400,Balaraam,Mumbai,Balaraam-Mumbai,1,
15,2,2,1500,Bharat,Kolkāta,Bharat-Kolkāta,1,
16,5,2,1600,Bhaskar,Bangalore,Bhaskar-Bangalore,2,
17,6,3,1700,Bhaumik,Chennai,Bhaumik-Chennai,1,
18,1,3,1800,Bijay,Hyderābād,Bijay-Hyderābād,1,
19,4,3,1000,Brijesh,Delhi,Brijesh-Delhi,1,
20,6,3,1100,Chandan,Hyderābād,Chandan-Hyderābād,2,
21,2,2,1200,Chetan,Kolkāta,Chetan-Kolkāta,1,
22,1,3,1300,Chirag,Mumbai,Chirag-Mumbai,1,
23,4,1,1400,Chiranjeeve,Lucknow,Chiranjeeve-Lucknow,2,
24,6,1,1500,Daksh,Jaipur,Daksh-Jaipur,2,
25,5,2,1600,Daman,Delhi,Daman-Delhi,1,
26,1,2,1700,Depen,Mumbai,Depen-Mumbai,1,
27,3,1,1800,Dev,Kolkāta,Dev-Kolkāta,2,
28,1,3,1000,Dhruv,Delhi,Dhruv-Delhi,1,
29,6,2,1100,Divyanshu,Hyderābād,Divyanshu-Hyderābād,2,
30,1,3,1200,Ekambar,Kolkāta,Ekambar-Kolkāta,1,
31,2,2,1300,Ekansh,Mumbai,Ekansh-Mumbai,2,
32,5,1,1400,Ekaraj,Ahmedabad,Ekaraj-Ahmedabad,2,
33,6,1,1500,Eklavya,Sūrat,Eklavya-Sūrat,2,
34,4,3,1600,Elilarasan,Prayagraj,Elilarasan-Prayagraj,2,
35,4,1,1700,Falak,Lucknow,Falak-Lucknow,2,
36,2,1,1800,Gagan,Jaipur,Gagan-Jaipur,2,
37,6,3,1000,Gajendra,Delhi,Gajendra-Delhi,1,
38,4,3,1100,Garv,Hyderābād,Garv-Hyderābād,2,
39,6,2,1200,Gaurav,Kolkāta,Gaurav-Kolkāta,1,
40,2,1,1300,Gautam,Mumbai,Gautam-Mumbai,2,
41,3,1,1400,Hardik,Bangalore,Hardik-Bangalore,1,
42,2,3,1500,Harsh,Chennai,Harsh-Chennai,2,
43,5,3,1600,Hemant,Hyderābād,Hemant-Hyderābād,1,
44,1,3,1700,Hridaya,Pune,Hridaya-Pune,1,
45,4,1,1800,Indivar,Ahmedabad,Indivar-Ahmedabad,1,
46,1,1,1000,Indra,Delhi,Indra-Delhi,1,
47,6,2,1100,Indraneel,Hyderābād,Indraneel-Hyderābād,1,
48,1,2,1200,Ishaan,Kolkāta,Ishaan-Kolkāta,1,
49,5,3,1300,Ishwar,Mumbai,Ishwar-Mumbai,2,
50,2,1,1400,Kanika,Delhi,Kanika-Delhi,2,
51,1,3,1500,Karishma,Mumbai,Karishma-Mumbai,2,
52,2,3,1600,Kashish,Kolkāta,Kashish-Kolkāta,1,
53,3,1,1700,Khushi,Bangalore,Khushi-Bangalore,2,
54,3,2,1800,Kinjal,Chennai,Kinjal-Chennai,1,
55,4,2,1000,Kirti,Delhi,Kirti-Delhi,1,
56,2,2,1100,Komal,Hyderābād,Komal-Hyderābād,2,
57,1,1,1200,Koyal,Kolkāta,Koyal-Kolkāta,1,
58,4,3,1300,Kshipra,Mumbai,Kshipra-Mumbai,1,
59,3,1,1400,Latika,Prayagraj,Latika-Prayagraj,1,
60,2,2,1500,Laveena,Lucknow,Laveena-Lucknow,1,
