Code,Category,A/C group,Sales office,Name,City,Search term,Status,TPC code
1,DOM-CONS,ZEXP,Sales office North,Olivia,Delhi,Olivia-Delhi,1,
2,DOM-CONS,ZEXP,Sales office North,Emma,Hyderābād,Emma-Hyderābād,1,
3,DOM-CONS,ZEXP,Sales office North,Charlotte,Kolkāta,Charlotte-Kolkāta,1,
4,DOM-CONS,ZEXP,Sales office North,Amelia,Mumbai,Amelia-Mumbai,1,
5,DOM-CONS,ZEXP,Sales office North,Sophia,Chennai,Sophia-Chennai,1,
6,DOM-CONS,ZEXP,Sales office North,Isabella,Hyderābād,Isabella-Hyderābād,1,
7,DOM-CONS,ZEXP,Sales office North,Ava,Pune,Ava-Pune,1,
8,DOM-CONS,ZEXP,Sales office North,Mia,Ahmedabad,Mia-Ahmedabad,1,
9,DOM-CONS,ZEXP,Sales office North,Evelyn,Sūrat,Evelyn-Sūrat,1,
10,DOM-CONS,ZEXP,Sales office North,Luna,Delhi,Luna-Delhi,1,
11,DOM-CUST,ZEXP,Sales office North,Harper,Hyderābād,Harper-Hyderābād,1,
12,DOM-CUST,ZEXP,Sales office North,Camila,Kolkāta,Camila-Kolkāta,1,
13,DOM-CUST,ZEXP,Sales office North,Sofia,Mumbai,Sofia-Mumbai,1,
14,DOM-CUST,ZEXP,Sales office North,Scarlett,Mumbai,Scarlett-Mumbai,1,
15,DOM-CUST,ZEXP,Sales office North,Elizabeth,Kolkāta,Elizabeth-Kolkāta,1,
16,DOM-CUST,ZEXP,Sales office North,Eleanor,Bangalore,Eleanor-Bangalore,1,
17,DOM-CUST,ZEXP,Sales office North,Emily,Chennai,Emily-Chennai,1,
18,DOM-CUST,ZEXP,Sales office North,Chloe,Hyderābād,Chloe-Hyderābād,1,
19,DOM-CUST,ZEXP,Sales office North,Mila,Delhi,Mila-Delhi,1,
20,DOM-CUST,ZEXP,Sales office North,Violet,Hyderābād,Violet-Hyderābād,1,
21,END-USE,ZEND,Sales office North,Penelope,Kolkāta,Penelope-Kolkāta,1,
22,END-USE,ZEND,Sales office North,Gianna,Mumbai,Gianna-Mumbai,1,
23,END-USE,ZEND,Sales office North,Aria,Lucknow,Aria-Lucknow,1,
24,END-USE,ZEND,Sales office North,Abigail,Jaipur,Abigail-Jaipur,1,
25,END-USE,ZEND,Sales office North,Ella,Delhi,Ella-Delhi,1,
26,END-USE,ZEND,Sales office North,Avery,Mumbai,Avery-Mumbai,1,
27,END-USE,ZEND,Sales office North,Hazel,Kolkāta,Hazel-Kolkāta,1,
28,END-USE,ZEND,Sales office North,Nora,Delhi,Nora-Delhi,1,
29,END-USE,ZEND,Sales office North,Layla,Hyderābād,Layla-Hyderābād,1,
30,END-USE,ZEND,Sales office North,Lily,Kolkāta,Lily-Kolkāta,1,
31,EXP-CONS,ZEND,Sales office North,Aurora,Mumbai,Aurora-Mumbai,1,
32,EXP-CONS,ZEND,Sales office North,Nova,Ahmedabad,Nova-Ahmedabad,1,
33,EXP-CONS,ZEND,Sales office North,Ellie,Sūrat,Ellie-Sūrat,1,
34,EXP-CONS,ZEND,Sales office North,Madison,Prayagraj,Madison-Prayagraj,1,
